team_name,season,games_played,goal_differential,goals,goals_conceded,cross_accuracy,goal_conversion_pct,pass_pct,pass_pct_opposition_half,possession_pct,shot_accuracy,tackle_success_pct
Boston Breakers,2016,20,-33,14,47,25.57,8.97,67.38,57.86,47,42.95,77.42
Boston Breakers,2017,24,-11,24,35,23.7,12.37,72.53,61.42,48,42.78,73.49
Chicago Red Stars,2016,21,3,25,22,21.19,11.79,67.35,57.74,46,48.58,84.32
Chicago Red Stars,2017,25,2,33,31,21.08,13.1,69.23,61.52,47,49.6,71.29
Chicago Red Stars,2018,25,8,38,30,25.96,13.67,71.63,64.55,51,45.68,67.97
Chicago Red Stars,2019,26,10,42,32,23.53,14.53,71.97,64.69,50,47.06,67.51
Chicago Red Stars,2021,27,2,32,30,22.22,12.26,68.67,60.24,44,45.98,59.82
Chicago Red Stars,2022,23,5,35,30,23.24,15.98,76.98,70.57,52,50.23,61.89
FC Kansas City,2016,20,-2,18,20,25.63,9.33,71.52,59.66,48,43.01,83.55
FC Kansas City,2017,24,-2,29,31,23.76,12.08,73.64,62.65,49,42.5,67.96
Houston Dash,2016,20,0,29,29,24.24,13.24,72.56,62.76,50,47.03,85.75
Houston Dash,2017,24,-16,23,39,23.45,8.16,76.52,68.67,50,48.23,73.88
Houston Dash,2018,24,-4,35,39,21.55,14,69.44,58.37,41,43.2,66.18
Houston Dash,2019,24,-15,21,36,20.27,9.33,73.27,62.45,48,45.78,60.61
Houston Dash,2021,24,0,31,31,25.7,14.03,74.31,63.96,47,44.8,58
Houston Dash,2022,23,7,36,29,22.46,16,71.07,59.47,47,45.33,59.06
NJ/NY Gotham FC,2016,20,-6,24,30,27.27,14.2,72.54,62.38,47,49.7,86.34
NJ/NY Gotham FC,2017,24,-9,42,51,23.64,16.09,74.54,65.06,51,54.02,73.08
NJ/NY Gotham FC,2018,24,-31,21,52,24.91,9.38,72.07,63.06,48,45.54,70.29
NJ/NY Gotham FC,2019,24,-14,20,34,23.41,9.26,73.07,62.97,45,35.19,64.46
NJ/NY Gotham FC,2021,25,7,29,22,24.44,12.66,79.55,72.14,55,38.43,59.67
NJ/NY Gotham FC,2022,22,-30,16,46,23.53,8.74,74.29,63.78,49,40.44,59.61
OL Reign,2016,20,8,29,21,22.12,15.34,76.35,65.34,58,53.97,82.73
OL Reign,2017,24,6,43,37,19.63,17.7,73.97,62.6,52,50.21,71.13
OL Reign,2018,25,7,28,21,24.62,10.61,71.63,58.87,52,49.24,65.45
OL Reign,2019,25,-3,28,31,22.14,10.11,71.84,58.46,50,40.79,60.35
OL Reign,2021,24,9,35,26,24.17,11.11,77.29,69.16,54,44.76,65.13
OL Reign,2022,23,11,32,21,28.43,11.55,74.81,69.89,50,49.1,59.65
Orlando Pride,2016,20,-10,20,30,22.42,12.05,72.34,60.6,52,51.81,78.34
Orlando Pride,2017,25,11,46,35,18.88,17.16,77.75,69.52,53,50,70.91
Orlando Pride,2018,24,-7,30,37,22.73,12.24,71.7,63.8,51,47.35,70.74
Orlando Pride,2021,24,-5,27,32,24.56,13.5,74.67,63.93,49,48.5,62.39
Orlando Pride,2022,22,-23,22,45,21.64,13.58,76.56,67.32,48,48.77,57.95
Portland Thorns FC,2016,21,15,38,23,30.21,19,71.4,61.02,51,54,78.31
Portland Thorns FC,2017,26,21,42,21,25.85,17.43,74.45,62.69,53,48.96,73.99
Portland Thorns FC,2018,26,10,42,32,25.21,16.22,72.15,62.78,53,48.65,66.92
Portland Thorns FC,2019,25,8,40,32,25.15,15.75,69.99,61.75,50,45.28,63.11
Portland Thorns FC,2021,24,11,30,19,25.47,8.47,76.3,71.33,53,42.94,60.71
Portland Thorns FC,2022,24,28,53,25,24.33,16.11,78.12,71.43,51,51.67,57.92
Washington Spirit,2016,22,10,34,24,23.29,14.91,70.14,62.3,54,48.68,80.7
Washington Spirit,2017,24,-18,30,48,19.83,13.16,69.39,63.83,48,48.68,77.32
Washington Spirit,2018,24,-23,12,35,27.21,5.43,71.32,62.39,49,38.46,74.62
Washington Spirit,2019,24,5,30,25,23.97,13.57,78.85,65.31,54,44.8,59.53
Washington Spirit,2021,25,12,34,22,25.13,11.37,78.2,67.17,51,47.16,59.1
Washington Spirit,2022,22,-7,26,33,22.89,11.4,76.9,64.57,53,48.25,57.25
Western New York Flash,2016,22,15,46,31,29.43,15.23,62.6,53.71,46,50,80.6
North Carolina Courage,2017,26,16,39,23,27.57,11.47,67.49,59.25,48,43.53,75.77
North Carolina Courage,2018,26,41,58,17,33.16,14.15,71.06,63.15,50,46.1,73.84
North Carolina Courage,2019,26,38,62,24,22.35,14.8,76.96,68.85,55,46.54,60.62
North Carolina Courage,2021,25,4,28,24,22.98,10.07,77.72,68.6,53,46.04,58.9
North Carolina Courage,2022,22,13,46,33,23.63,20,79.99,71.8,55,51.74,58.7
Utah Royals FC,2018,24,-1,22,23,20,10.14,74.61,63.49,55,44.24,70.04
Utah Royals FC,2019,24,0,25,25,24.92,10.37,77.59,67.61,53,48.96,58.19
Kansas City Current,2021,24,-21,15,36,20.78,6.25,71.56,62.34,47,41.67,57.34
Kansas City Current,2022,25,1,33,32,23.61,15,70.4,61.44,48,53.64,58.68
Racing Louisville FC,2021,24,-19,21,40,18.42,13.73,73.73,62.2,46,43.79,62.37
Racing Louisville FC,2022,22,-12,23,35,20.18,11.5,72.5,62.09,49,42,62.87
Angel City FC,2022,22,-4,23,27,24.56,11.98,73.54,64.8,49,45.83,62.35
San Diego Wave FC,2022,24,11,35,24,23.7,13.83,70.81,59.67,49,45.06,56.87
